,ID,LOC_ID,TR_N,PROJECT,SAMPLING_DATE,DEPTH,PH,SCARBON,SCEC,SNH4,SNO3,SLNI,SLON,SBDM,SRD,SPOR,WCF,GWCST,GWCFC,GWC1B,GWCWP,WCST,WCFC,WC1B,WCWP,SMACROP,SMESOP,SMICROP,SAND,SILT,CLAY,STC,DEPTH_range,SSKS,WCAD
17,SDTOS4MADRI,SDTO,S4,MADRI,07/24/2014,20,6.18,0.7,1.79,5.1206,1.2422,200,193.6372,1.533381534,2.683384039,42.85799453,4.708973959,28.52700004,7.992744961,4.792403693,3.857067305,43.75213406,12.21637619,7.326142051,5.894850383,30.64161834,6.321525803,5.894850383,81.89965952,5.432605648,12.66773483,SaLo,20_40,93.31691632,6.872585241
18,SDTOS4MADRI,SDTO,S4,MADRI,07/24/2014,20,6.28,0.4,1.74,5.0338,0.4937,100,94.4725,1.467089029,2.677987936,45.21663079,8.074434649,31.57507636,7.674531059,4.658966172,3.548367358,46.32387667,11.24727559,6.826294626,5.199174951,33.9693552,6.048100641,5.199174951,83.14128257,2.930861723,13.92785571,SaLo,40_60,87.65831908,6.863401024
19,AIHUS3MADRI,AIHU,S3,MADRI,04/04/2014,20,6.45,7,23.15,8.3551,0.9796,2100,2090.6653,1.417208667,2.563449957,44.71074866,28.09191433,33.58854429,29.34575006,27.42899447,24.67033171,47.48772367,41.49422912,38.78756784,34.89251878,5.993494548,6.60171034,34.89251878,1.821976534,29.61416968,68.56385379,Cl,0_20,3.817455272,15.45131786
20,AIHUS3MADRI,AIHU,S3,MADRI,04/04/2014,20,6.93,3.9,25.5,2.6019,3.2116,700,694.1865,1.487151112,2.600786837,42.81804382,25.95651609,31.9634809,27.39486703,25.54017396,23.73644917,47.52529741,40.72856797,37.97773002,35.29775418,6.796729436,5.430813788,35.29775418,15.81175299,4.980079681,79.20816733,Cl,20_40,4.215493168,23.73583193
21,AIHUS3MADRI,AIHU,S3,MADRI,04/04/2014,20,7.2,3.7,25.2,3.0805,1.1664,600,595.7531,1.494692631,2.597171054,42.44928937,26.343385,32.63749389,27.66141887,25.42221511,22.90311246,48.78399183,41.34693541,37.99848992,34.23252986,7.437056423,7.114405552,34.23252986,7.365100087,12.91884247,79.71605744,Cl,40_60,3.0385594,20.93676327
22,AIHUS2MADRI,AIHU,S2,MADRI,04/04/2014,20,7.56,5,31.8,3.1612,2.5103,900,894.3285,1.339049,2.563549,47.76763,32.87583,39.40759,34.48655,32.7426,29.99426,52.76179,46.15057,43.80859,40.12385,6.611224,6.026722,40.12385,5.763158,19.73684,74.5,Cl,0_20,3.499503903,22.85857419
23,AIHUS2MADRI,AIHU,S2,MADRI,04/04/2014,20,7.99,4.5,32.8,3.6404,1.4063,600,594.9533,1.412902,2.57134,45.03535,29.3567,36.53857,31.53257,29.4925,27.40329,51.61975,44.52816,41.64435,38.69936,7.091597,5.828792,38.69936,8.317531,10.53519,81.14728,Cl,20_40,2.91077309,24.90432509
24,AIHUS2MADRI,AIHU,S2,MADRI,04/04/2014,20,7.45,4.1,31.1,3.9426,4.3329,600,591.7245,1.381405,2.591951,46.70353,30.03129,36.90996,31.19715,29.39934,27.12684,50.95938,43.08589,40.60672,37.46636,7.873489,5.619531,37.46636,5.853426396,0,94.1465736,Cl,40_60,3.389960163,29.17466755
25,AIHUS1MADRI,AIHU,S1,MADRI,05/23/2013,20,6.18,11.8846,27.2,11.523,0.134,1366.505,1354.848,1.361152167,2.612936904,47.90296129,40.94631106,52.2901464,35.8896691,34.65051173,19.36298132,68.85250144,47.25734509,45.62569762,25.49600242,2.466428504,21.76134267,25.49600242,10.45194858,28.31054887,61.23750255,Cl,0_20,17.38690709,19.54234808
26,AIHUS1MADRI,AIHU,S1,MADRI,05/23/2013,20,6.57,4.2586,29.7,4.572,1.227,393.008,387.209,1.559229691,2.602359876,40.08535559,36.18319054,50.86376522,24.63850222,21.83248434,12.23452798,79.31409211,38.38071424,33.98606267,19.01016347,1.704641345,19.37055077,19.01016347,10.0758678,24.94283933,64.98129287,Cl,20_40,4.755532919,14.56094841
